k,i,j,BaldesDelItemEnColumnaDelPalet,c
1,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,1
1,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,2
1,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,3
1,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,4
2,"332-1984778-DI","20835-SOLOMILLO VACIO",1,1
2,"332-1984778-DI","20836-CINTA LOMO TROZO VACIO",11,1
2,"332-1984778-DI","20835-SOLOMILLO VACIO",12,2
2,"332-1984778-DI","20835-SOLOMILLO VACIO",11,3
2,"332-1984778-DI","20972-SECRETO VACIO",1,3
4,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",6,2
5,"352-1984778-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,1
5,"352-1984778-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,2
5,"352-1984778-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,4
6,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",2,2
6,"312-1984778-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",4,2
6,"312-1984778-DI","21267-CINTA DE LOMO 400 GR. BAND.",6,2
6,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",12,3
6,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",12,4
6,"312-1984778-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",12,5
7,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",13,2
7,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",13,3
8,"332-1984778-DI","20871-AGUJA S/H VACIO",11,2
8,"332-1984778-DI","20850-SOLOMILLO 2 UNIDADES VACIO",1,3
10,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",1,1
12,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",9,1
14,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,1
14,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,2
14,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,3
14,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,4
17,"312-1984778-DI","21100-COSTILLA TROCEADA 560 GR. BAND",6,1
17,"312-1984778-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",3,2
17,"312-1984778-DI","21100-COSTILLA TROCEADA 560 GR. BAND",9,2
17,"312-1984778-DI","21100-COSTILLA TROCEADA 560 GR. BAND",12,4
18,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,1
18,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,2
18,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,3
18,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,4
19,"332-1984778-DI","20871-AGUJA S/H VACIO",1,1
20,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",1,1
20,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",8,2
20,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",5,2
23,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",3,1
23,"352-1984778-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",3,2
23,"352-1984778-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",5,3
25,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,1
25,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,2
25,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,3
25,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,4
26,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",3,2
26,"312-1984778-DI","21267-CINTA DE LOMO 400 GR. BAND.",9,2
26,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",12,3
27,"332-1984778-DI","20835-SOLOMILLO VACIO",10,1
27,"332-1984778-DI","20871-AGUJA S/H VACIO",1,1
27,"332-1984778-DI","20835-SOLOMILLO VACIO",2,2
27,"332-1984778-DI","20836-CINTA LOMO TROZO VACIO",4,2
28,"312-1984778-DI","21112-ESC. JAMON SIEMPRE TIERNOS 400",12,1
28,"312-1984778-DI","21112-ESC. JAMON SIEMPRE TIERNOS 400",12,2
28,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",1,3
28,"312-1984778-DI","21267-CINTA DE LOMO 400 GR. BAND.",4,3
28,"312-1984778-DI","20849-FILETE DE AGUJA 400 GR. BAND.",12,4
28,"312-1984778-DI","21112-ESC. JAMON SIEMPRE TIERNOS 400",7,5
28,"312-1984778-DI","21112-ESC. JAMON SIEMPRE TIERNOS 400",12,6
28,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",12,7
32,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",16,1
32,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",16,2
32,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",16,3
32,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",16,4
34,"312-1984778-DI","20849-FILETE DE AGUJA 400 GR. BAND.",1,1
34,"312-1984778-DI","21100-COSTILLA TROCEADA 560 GR. BAND",11,1
34,"312-1984778-DI","20831-FILETE DE PANCETA 560 GR. BAND",12,2
35,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,1
35,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,2
35,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,3
35,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,4
37,"332-1984778-DI","20835-SOLOMILLO VACIO",2,1
37,"332-1984778-DI","20850-SOLOMILLO 2 UNIDADES VACIO",7,1
37,"332-1984778-DI","20835-SOLOMILLO VACIO",12,2
38,"352-1984778-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",1,1
41,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,1
41,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,2
41,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,3
41,"311-1984778-DI","21070-CHULETA DE LOMO 600 GR. BAND.",16,4
42,"352-1984778-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",1,1
43,"352-1984778-DI","21102-FILETE LOMO AJILLO 300 GR. BAN",11,1
44,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",6,1
45,"332-1984778-DI","20871-AGUJA S/H VACIO",1,1
46,"332-1984778-DI","20836-CINTA LOMO TROZO VACIO",1,1
46,"332-1984778-DI","20972-SECRETO VACIO",8,1
49,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,1
49,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,2
49,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,3
49,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,4
49,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,5
49,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,6
49,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,7
49,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,8
50,"312-1984778-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",4,2
50,"312-1984778-DI","21112-ESC. JAMON SIEMPRE TIERNOS 400",2,2
50,"312-1984778-DI","20849-FILETE DE AGUJA 400 GR. BAND.",9,3
51,"332-1984778-DI","20836-CINTA LOMO TROZO VACIO",11,1
51,"332-1984778-DI","20871-AGUJA S/H VACIO",1,1
60,"312-1984778-DI","21100-COSTILLA TROCEADA 560 GR. BAND",12,1
76,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",14,1
76,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,2
76,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,3
76,"331-1984778-DI","20973-COSTILLA SEMICARNUDA TIRA VACI",16,4
83,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,1
83,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,2
83,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,3
83,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,4
84,"352-1984778-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,1
84,"352-1984778-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,2
84,"352-1984778-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,4
84,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",12,5
84,"352-1984778-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",11,6
84,"352-1984778-DI","21277-LOMO SIEMPRE TIERNO 300 GR. BA",12,7
86,"332-1984778-DI","20871-AGUJA S/H VACIO",3,1
86,"332-1984778-DI","20972-SECRETO VACIO",2,1
87,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",5,1
87,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",4,4
88,"352-1984778-DI","20839-ESCALOPIN LOMO EXTRATIERNO 600",12,1
88,"352-1984778-DI","20839-ESCALOPIN LOMO EXTRATIERNO 600",12,2
88,"352-1984778-DI","20839-ESCALOPIN LOMO EXTRATIERNO 600",12,3
88,"352-1984778-DI","20839-ESCALOPIN LOMO EXTRATIERNO 600",12,4
88,"352-1984778-DI","20839-ESCALOPIN LOMO EXTRATIERNO 600",12,5
88,"352-1984778-DI","20839-ESCALOPIN LOMO EXTRATIERNO 600",12,6
88,"352-1984778-DI","20839-ESCALOPIN LOMO EXTRATIERNO 600",12,7
88,"352-1984778-DI","20839-ESCALOPIN LOMO EXTRATIERNO 600",12,8
90,"312-1984778-DI","21267-CINTA DE LOMO 400 GR. BAND.",12,1
90,"312-1984778-DI","21078-CARNE ESTOFADO CERDO 600 GR. B",12,2
90,"312-1984778-DI","20849-FILETE DE AGUJA 400 GR. BAND.",12,3
91,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",16,1
91,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",16,2
91,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",16,3
91,"351-1984778-DI","20841-ESCALOPIN LOMO ADOB. EXT.TIERN",16,4
93,"352-1984778-DI","20839-ESCALOPIN LOMO EXTRATIERNO 600",5,1
93,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",7,2
93,"352-1984778-DI","20842-ESCALOPIN LOMO ADOB. 300 GR. B",5,3
93,"352-1984778-DI","20839-ESCALOPIN LOMO EXTRATIERNO 600",12,5
94,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",2,1
96,"332-1984778-DI","20835-SOLOMILLO VACIO",8,1
96,"332-1984778-DI","20871-AGUJA S/H VACIO",5,3
100,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,1
100,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,2
100,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,3
100,"311-1984778-DI","21124-CHULETA DE AGUJA 600 GR. BAND.",9,4
